Time,Frequency,Resistance
632, 5009471.933333, 445.866667
633, 5009472.800000, 445.798333
634, 5009473.600000, 445.790000
635, 5009475.000000, 445.640000
638, 5009480.300000, 445.420000
641, 5009482.500000, 445.300000
648, 5009486.900000, 445.060000
649, 5009488.100000, 445.045000
652, 5009488.900000, 444.970000
660, 5009491.100000, 444.840000
661, 5009491.100000, 444.840000
662, 5009490.600000, 444.860000
663, 5009490.300000, 444.860000
664, 5009490.300000, 444.870000
666, 5009490.300000, 444.860000
668, 5009490.300000, 444.870000
670, 5009490.400000, 444.850000
671, 5009490.050000, 444.860000
672, 5009489.600000, 444.880000
673, 5009489.400000, 444.890000
674, 5009489.300000, 444.895000
679, 5009489.300000, 444.890000
681, 5009488.700000, 444.905000
682, 5009488.100000, 444.930000
683, 5009488.200000, 444.930000
684, 5009488.350000, 444.930000
685, 5009488.400000, 444.928571
686, 5009488.433333, 444.920000
687, 5009488.471429, 444.920000
688, 5009488.457143, 444.911429
689, 5009488.566667, 444.918333
690, 5009488.328571, 444.920000
691, 5009487.785714, 444.941429
692, 5009487.442857, 444.955714
693, 5009487.233333, 444.960000
694, 5009487.071429, 444.964286
695, 5009486.942857, 444.982857
696, 5009486.866667, 445.003333
697, 5009486.742857, 445.020000
698, 5009488.928571, 445.012857
699, 5009497.400000, 444.610000
700, 5009498.171429, 444.530000
701, 5009492.442857, 444.720000
702, 5009490.033333, 444.760000
703, 5009486.585714, 444.940000
704, 5009481.657143, 445.184286
705, 5009482.166667, 445.160000
706, 5009484.871429, 445.095714
707, 5009490.614286, 444.790000
708, 5009498.266667, 444.515000
709, 5009496.457143, 444.467143
710, 5009494.300000, 444.515714
711, 5009492.833333, 444.571667
712, 5009493.500000, 444.537143
713, 5009492.185714, 444.582857
714, 5009491.666667, 444.600000
715, 5009492.314286, 444.570000
716, 5009492.666667, 444.540000
717, 5009493.085714, 444.514286
718, 5009493.333333, 444.493333
719, 5009493.371429, 444.482857
720, 5009493.100000, 444.508571
721, 5009492.566667, 444.525000
722, 5009492.342857, 444.538571
723, 5009491.685714, 444.580000
724, 5009489.766667, 444.653333
725, 5009488.128571, 444.740000
726, 5009486.400000, 444.815714
727, 5009483.400000, 444.970000
728, 5009478.600000, 445.210000
729, 5009478.300000, 445.240000
730, 5009476.800000, 445.350000
731, 5009482.871429, 445.152857
732, 5009494.383333, 444.595000
733, 5009507.283333, 444.103333
734, 5009505.142857, 444.110000
735, 5009499.942857, 444.248571
736, 5009499.800000, 444.248000
737, 5009499.400000, 444.263333
738, 5009498.760000, 444.274000
739, 5009498.020000, 444.286000
740, 5009497.183333, 444.316667
741, 5009496.500000, 444.350000
742, 5009496.200000, 444.360000
743, 5009496.233333, 444.370000
744, 5009496.350000, 444.370000
745, 5009496.033333, 444.378333
746, 5009495.842857, 444.380000
747, 5009496.360000, 444.364000
748, 5009497.133333, 444.340000
749, 5009498.114286, 444.307143
750, 5009499.083333, 444.270000
751, 5009500.200000, 444.233333
752, 5009501.600000, 444.180000
753, 5009503.033333, 444.110000
754, 5009504.250000, 444.057500
755, 5009505.500000, 444.014286
756, 5009506.100000, 443.980000
757, 5009507.000000, 443.940000
758, 5009508.250000, 443.880000
